search_code,code,name
tse_2436.tw,2436,偉詮電
tse_2438.tw,2438,翔耀
tse_2439.tw,2439,美律
tse_2440.tw,2440,太空梭
tse_2441.tw,2441,超豐
tse_2442.tw,2442,新美齊
tse_2443.tw,2443,億麗
tse_2444.tw,2444,兆勁
tse_2449.tw,2449,京元電子
tse_2450.tw,2450,神腦
tse_2451.tw,2451,創見
tse_2453.tw,2453,凌群
tse_2454.tw,2454,聯發科
tse_2455.tw,2455,全新
tse_2456.tw,2456,奇力新
tse_2457.tw,2457,飛宏
tse_2458.tw,2458,義隆
tse_2459.tw,2459,敦吉
tse_2460.tw,2460,建通
tse_2461.tw,2461,光群雷
tse_2462.tw,2462,良得電
tse_2464.tw,2464,盟立
tse_2465.tw,2465,麗臺
tse_2466.tw,2466,冠西電
tse_2467.tw,2467,志聖
tse_2468.tw,2468,華經
tse_2471.tw,2471,資通
tse_2472.tw,2472,立隆電
tse_2474.tw,2474,可成
tse_2476.tw,2476,鉅祥
tse_2477.tw,2477,美隆電
tse_2478.tw,2478,大毅
tse_2480.tw,2480,敦陽科
tse_2481.tw,2481,強茂
tse_2482.tw,2482,連宇
tse_2483.tw,2483,百容
tse_2484.tw,2484,希華
tse_2485.tw,2485,兆赫
tse_2486.tw,2486,一詮
tse_2488.tw,2488,漢平
tse_2489.tw,2489,瑞軒
tse_2491.tw,2491,吉祥全
tse_2492.tw,2492,華新科
tse_2493.tw,2493,揚博
tse_2495.tw,2495,普安
tse_2496.tw,2496,卓越
tse_2497.tw,2497,怡利電
tse_2498.tw,2498,宏達電
tse_2501.tw,2501,國建
tse_2504.tw,2504,國產
tse_2505.tw,2505,國揚
tse_2506.tw,2506,太設
tse_2509.tw,2509,全坤建
tse_2511.tw,2511,太子
tse_2514.tw,2514,龍邦
tse_2515.tw,2515,中工
tse_2516.tw,2516,新建
tse_2520.tw,2520,冠德
tse_2524.tw,2524,京城
tse_2527.tw,2527,宏璟
tse_2528.tw,2528,皇普
tse_2530.tw,2530,華建
tse_2534.tw,2534,宏盛
tse_2535.tw,2535,達欣工
tse_2536.tw,2536,宏普
tse_2537.tw,2537,聯上發
tse_2538.tw,2538,基泰
tse_2539.tw,2539,櫻花建
tse_2540.tw,2540,愛山林
tse_2542.tw,2542,興富發
tse_2543.tw,2543,皇昌
tse_2545.tw,2545,皇翔
tse_2546.tw,2546,根基
tse_2547.tw,2547,日勝生
tse_2548.tw,2548,華固
tse_2597.tw,2597,潤弘
tse_2601.tw,2601,益航
tse_2603.tw,2603,長榮
tse_2605.tw,2605,新興
tse_2606.tw,2606,裕民
tse_2607.tw,2607,榮運
tse_2608.tw,2608,嘉里大榮
tse_2609.tw,2609,陽明
tse_2610.tw,2610,華航
tse_2611.tw,2611,志信
tse_2612.tw,2612,中航
tse_2613.tw,2613,中櫃
tse_2614.tw,2614,東森
tse_2615.tw,2615,萬海
tse_2616.tw,2616,山隆
tse_2617.tw,2617,台航
tse_2618.tw,2618,長榮航
tse_2630.tw,2630,亞航
tse_2633.tw,2633,台灣高鐵
tse_2634.tw,2634,漢翔
tse_2636.tw,2636,台驊投控
tse_2637.tw,2637,慧洋-KY
tse_2642.tw,2642,宅配通
tse_2701.tw,2701,萬企
tse_2702.tw,2702,華園
tse_2704.tw,2704,國賓
tse_2705.tw,2705,六福
tse_2706.tw,2706,第一店
tse_2707.tw,2707,晶華
tse_2712.tw,2712,遠雄來
tse_2722.tw,2722,夏都
tse_2723.tw,2723,美食-KY
tse_2727.tw,2727,王品
tse_2731.tw,2731,雄獅
tse_2739.tw,2739,寒舍
tse_2748.tw,2748,雲品
tse_2753.tw,2753,八方雲集
tse_2801.tw,2801,彰銀
tse_2809.tw,2809,京城銀
tse_2812.tw,2812,台中銀
tse_2816.tw,2816,旺旺保
tse_2820.tw,2820,華票
tse_2823.tw,2823,中壽
tse_2832.tw,2832,台產
tse_2834.tw,2834,臺企銀
tse_2836.tw,2836,高雄銀
tse_2838.tw,2838,聯邦銀
tse_2841.tw,2841,台開
tse_2845.tw,2845,遠東銀
tse_2849.tw,2849,安泰銀
tse_2850.tw,2850,新產
tse_2851.tw,2851,中再保
tse_2852.tw,2852,第一保
tse_2855.tw,2855,統一證
tse_2867.tw,2867,三商壽
tse_2880.tw,2880,華南金
tse_2881.tw,2881,富邦金
tse_2882.tw,2882,國泰金
tse_2883.tw,2883,開發金
tse_2884.tw,2884,玉山金
tse_2885.tw,2885,元大金
tse_2886.tw,2886,兆豐金
tse_2887.tw,2887,台新金
tse_2888.tw,2888,新光金
tse_2889.tw,2889,國票金
tse_2890.tw,2890,永豐金
tse_2891.tw,2891,中信金
tse_2892.tw,2892,第一金
tse_2897.tw,2897,王道銀行
tse_2901.tw,2901,欣欣
tse_2903.tw,2903,遠百
tse_2904.tw,2904,匯僑
tse_2905.tw,2905,三商
tse_2906.tw,2906,高林
tse_2908.tw,2908,特力
tse_2910.tw,2910,統領
tse_2911.tw,2911,麗嬰房
tse_2912.tw,2912,統一超
tse_2913.tw,2913,農林
tse_2915.tw,2915,潤泰全
tse_2923.tw,2923,鼎固-KY
tse_2929.tw,2929,淘帝-KY
tse_2936.tw,2936,客思達-KY
tse_2939.tw,2939,凱羿-KY
tse_3002.tw,3002,歐格
tse_3003.tw,3003,健和興
tse_3004.tw,3004,豐達科
tse_3005.tw,3005,神基
tse_3006.tw,3006,晶豪科
tse_3008.tw,3008,大立光
tse_3010.tw,3010,華立
tse_3011.tw,3011,今皓
tse_3013.tw,3013,晟銘電
tse_3014.tw,3014,聯陽
tse_3015.tw,3015,全漢
tse_3016.tw,3016,嘉晶
tse_3017.tw,3017,奇鋐
tse_3018.tw,3018,同開
tse_3019.tw,3019,亞光
tse_3021.tw,3021,鴻名
tse_3022.tw,3022,威強電
tse_3023.tw,3023,信邦
tse_3024.tw,3024,憶聲
tse_3025.tw,3025,星通
tse_3026.tw,3026,禾伸堂
tse_3027.tw,3027,盛達
tse_3028.tw,3028,增你強
tse_3029.tw,3029,零壹
tse_3030.tw,3030,德律
tse_3031.tw,3031,佰鴻
tse_3032.tw,3032,偉訓
tse_3033.tw,3033,威健
tse_3034.tw,3034,聯詠
tse_3035.tw,3035,智原
tse_3036.tw,3036,文曄
tse_3037.tw,3037,欣興
tse_3038.tw,3038,全台
tse_3040.tw,3040,遠見
tse_3041.tw,3041,揚智
tse_3042.tw,3042,晶技
tse_3043.tw,3043,科風
tse_3044.tw,3044,健鼎
tse_3045.tw,3045,台灣大
tse_3046.tw,3046,建碁
tse_3047.tw,3047,訊舟
tse_3048.tw,3048,益登
tse_3049.tw,3049,和鑫
tse_3050.tw,3050,鈺德
tse_3051.tw,3051,力特
tse_3052.tw,3052,夆典
tse_3054.tw,3054,立萬利
tse_3055.tw,3055,蔚華科
tse_3056.tw,3056,總太
tse_3057.tw,3057,喬鼎
tse_3058.tw,3058,立德
tse_3059.tw,3059,華晶科
tse_3060.tw,3060,銘異
tse_3062.tw,3062,建漢
tse_3090.tw,3090,日電貿
tse_3092.tw,3092,鴻碩
tse_3094.tw,3094,聯傑
tse_3130.tw,3130,一零四
tse_3138.tw,3138,耀登
tse_3149.tw,3149,正達
tse_3164.tw,3164,景岳
tse_3167.tw,3167,大量
tse_3189.tw,3189,景碩
tse_3209.tw,3209,全科
tse_3229.tw,3229,晟鈦
tse_3231.tw,3231,緯創
tse_3257.tw,3257,虹冠電
tse_3266.tw,3266,昇陽
tse_3296.tw,3296,勝德
tse_3305.tw,3305,昇貿
tse_3308.tw,3308,聯德
tse_3311.tw,3311,閎暉
tse_3312.tw,3312,弘憶股
tse_3321.tw,3321,同泰
tse_3338.tw,3338,泰碩
tse_3346.tw,3346,麗清
tse_3356.tw,3356,奇偶
tse_3376.tw,3376,新日興
tse_3380.tw,3380,明泰
tse_3383.tw,3383,新世紀
tse_3406.tw,3406,玉晶光
tse_3413.tw,3413,京鼎
tse_3416.tw,3416,融程電
tse_3419.tw,3419,譁裕
tse_3432.tw,3432,台端
tse_3437.tw,3437,榮創
tse_3443.tw,3443,創意
tse_3450.tw,3450,聯鈞
tse_3454.tw,3454,晶睿
tse_3481.tw,3481,群創
tse_3494.tw,3494,誠研
tse_3501.tw,3501,維熹
tse_3504.tw,3504,揚明光
tse_3515.tw,3515,華擎
tse_3518.tw,3518,柏騰
tse_3528.tw,3528,安馳
tse_3530.tw,3530,晶相光
tse_3532.tw,3532,台勝科
tse_3533.tw,3533,嘉澤
tse_3535.tw,3535,晶彩科
tse_3536.tw,3536,誠創
tse_3543.tw,3543,州巧
tse_3545.tw,3545,敦泰
tse_3550.tw,3550,聯穎
tse_3557.tw,3557,嘉威
tse_3563.tw,3563,牧德
tse_3576.tw,3576,聯合再生
tse_3583.tw,3583,辛耘
tse_3588.tw,3588,通嘉
tse_3591.tw,3591,艾笛森
tse_3593.tw,3593,力銘
tse_3596.tw,3596,智易
tse_3605.tw,3605,宏致
tse_3607.tw,3607,谷崧
tse_3617.tw,3617,碩天
tse_3622.tw,3622,洋華
tse_3645.tw,3645,達邁
tse_3653.tw,3653,健策
tse_3661.tw,3661,世芯-KY
tse_3665.tw,3665,貿聯-KY
tse_3669.tw,3669,圓展
tse_3673.tw,3673,TPK-KY
tse_3679.tw,3679,新至陞
tse_3682.tw,3682,亞太電
tse_3686.tw,3686,達能
tse_3694.tw,3694,海華
tse_3701.tw,3701,大眾控
tse_3702.tw,3702,大聯大
tse_3703.tw,3703,欣陸
tse_3704.tw,3704,合勤控
tse_3705.tw,3705,永信
tse_3706.tw,3706,神達
tse_3708.tw,3708,上緯投控
tse_3711.tw,3711,日月光投控
tse_3712.tw,3712,永崴投控
tse_3714.tw,3714,富采
tse_4104.tw,4104,佳醫
